text,labels
"Doctor , X-58 , seems to be a success .",joy
Does that sign say BQE ?,joy
Doesn't look like there's any other damage .,joy
Don't make me laugh .,joy
Don't worry about me .,joy
"Don't worry , we'll celebrate .",joy
Don't you look good .,joy|surprise
"Don't you think that life should be gay and bright and bubbly , like champagne ?",joy
"Don't you want more cashews , Grandpa ?",joy
Drink to the winner !,joy
Easy .,joy
"[PERSON] , we've discovered something the human race has been searching for since the beginning of time .",joy
Enjoy with me The pleasures here above,joy
"ESP exists , [PERSON] . They proved it .",joy|surprise
Especially with a fortune in our falsies .,joy
"[PERSON] , I care about this woman .",joy
"Ever since the first day I laid eyes on you , I knew I had to be yours and yours alone .",joy
Every dog I ever knew seemed to have a very nice life indeed .,joy
Every player on that team thinks I'm the greatest .,joy
Everybody comes here .,joy
Everybody likes ice cream .,joy
Everybody !,joy
"Everyone else , rock 'n' roll .",joy
"Everyone wanted to do the oral argument , that's always kind of the cherry on top of the ice cream there .",joy|surprise
Everything gets easier from now on .,joy
Everything is so wonderful .,joy
Everything okay ?,joy
Everything's fine .,joy
Excellent !,joy|surprise
Except blurt out a total confession .,joy
"Except we're not behind schedule , we're ahead of it .",joy
Except you'll look better in 'em .,joy
Explains even more .,joy
Fabulous .,joy
"Fantastic , isn't it ?",joy
Fantastic !,joy
Fantastic .,joy
"Faster , son , faster !",joy
"Father , make us truly humble and thankful ... for these and all the other blessings .",joy
"Feeling better , I see .",joy|surprise
Finally lifted the spell !,joy
"Finally , some peace and quiet .",joy
"Fine - looking couple , [PERSON] .",joy
"First of all , I'd like to thank everyone who supported me in my race for Mayor .",joy
"First things first . Wait , I got it .",joy
"First , I want a big smile .",joy
Foo - foo is a good dog .,joy
Food goes down easier .,joy
"For a boy , it was a kind of paradise .",joy
"For a buck , you get a shooter , and a cigar , and a dance with the beautiful bride .",joy
"For the first time in my life , I'm happy .",joy
"For the first time in my whole life , I know what I want to do .",joy
Four degrees down !,joy
From now on we are .,joy
"From your niece , sir .",joy
"Fucking A , sir .",joy
Get some sleep .,anger|joy
Girl of quality and taste .,joy
Give him a good laugh .,joy
"Give me a nice big hug , like you used to when you were little .",joy
"Glad to have you with us , Big Casino .",joy
Glad to see I'm not the only case you're working .,joy
Glad to see you .,joy
glad to see you're out of jail .,joy
"Glad you liked it , Grandfather .",joy
Glad you reminded me .,joy
Glad you told me .,joy
"Glorious , aren't they ?",joy
"Go on , give yourself a treat .",joy
Go on . - Go on . Yeah .,joy
"God , I love you !",joy
"God , it's in perfect shape .",joy
"God , that was lucky I could make her go .",joy
"God , that's beautiful .",joy
"Good afternoon , Mr. [PERSON] !",joy
Good as money can buy .,joy
Good crowd .,joy
"Good evening , lieutenant .",joy
Good evening .,joy
"Good for you , [PERSON] .",joy
"Good game tonight , guys .",joy
"Good job , good job .",joy
Good morning !,joy
Good morning .,joy
Good stuff .,joy
"Good to meet you , Mr. [PERSON] .",joy
"Good to see you again , friend .",joy
Good to see you .,joy
Good to see you're still kicking .,joy
"Good , daddy .",joy
"Goodbye , [PERSON] !",joy|sadness
Got all the time in the world .,joy
Great pair of togas .,joy
Great principles don't get lost once they come to light .,joy
Great !,joy
Great .,joy
Groovy .,joy
"Ha ha ! Hi ! Hi , everybody !",joy
"Ha , a bit bourgeois , don't you think ?",joy
"Hail , brothers ! Many brothers !",joy
"Hail , fellowship !",joy
"Hallelujah , brothers !",joy
"Handy little thing , isn't it ?",joy
"[PERSON] , that's a winner .",joy
Hannah !,joy
"Happier than we've ever been , yes .",joy
Happiest CS - Three anyone ever met .,joy
Happy birthday .,joy
Happy to have you with us .,joy
"Harry , you got a nice shop here .",joy
"[PERSON] is , in fact , mon ami !",anger|joy
"Have fun , sweetie ?",joy
Have fun !,joy
Havin' the best and wearing ' the best .,joy
He felt like one of those gods who appear to maidens in human form .,joy
He goes to dance his joy .,joy
He has the most beautiful hands I ever saw .,joy
He is inspired by the new openness here .,joy
He is my friend .,joy
He is very talented .,joy
He kisses my hand .,joy
He liked you .,joy
He likes the way his wife welcomes him home .,joy
He looked nice .,joy
He looks like a bronzed Apollo .,joy
He looks like a little boulevardier .,joy
"He loves you so much , and he absolutely dotes on the kids .",joy
He reached out to us and asked if we'd be willing to help him,joy
He seemed like a really nice guy .,joy
He thinks the world of me .,joy
"He was ill , but he has recovered .",joy
He was in terrific condition .,joy
He was kind and thoughtful and happy about my success .,joy
He was nice .,joy
He was okay .,joy
He was safe .,joy
He was sensational .,joy
He who wears the ring ... ♪ Help !,fear|joy
He'd look very picturesque in the summerhouse .,joy
He'll be all right .,joy
He's a beautiful kid .,joy
He's a good man .,joy
He's a wonderful man .,joy
He's alive !,joy|surprise
He's cute .,joy
He's doing fine .,joy
He's enjoying it ! Can't you see he's enjoying it ?,joy
He's gone to .,joy
( sighs ) I thought I got some good news .,sadness
"( sobs ) - daddy . - Yeah , bud ?",sadness
♪ Of people going by ♪,sadness
"♪ Ooh , ooh , ooh ♪ ♪ There was Mermaid Minnie ♪",sadness
A captain's job is a lonely one .,sadness
A command is a lonely job . It isn't easy to make decisions .,sadness
A depressing characteristic .,sadness
A desecration of what used to be the finest .,sadness|surprise
A guy like me should never be allowed to get in here in the first place !,sadness
A legend on this force is dead .,sadness
"A man , just like you , fated to being imprisoned",sadness
A Parisian only goes to the Tower in moments of despair to jump off .,sadness
A queen has no hour for love .,sadness
A really distinguished family ...,sadness
A sequined gown dragging me down .,sadness
A. . . pointless award ?,sadness|surprise
Abandoned ... Like someone left for dead ...,sadness
"About [PERSON] , you told me that your husband [PERSON] deserted you .",sadness
"About [LOCATION] , I don't think this is really the best time .",sadness
Acknowledging defeat is never easy .,sadness
"Afraid not . dollars , please .",sadness
After all she done ?,sadness|surprise
"After all , I had caused the girl considerable discomfort .",sadness
"After that , things kind of went downhill .",sadness|surprise
"Ah , you should have stuffed her in the car with the friend .",sadness|surprise
All I ever do is try to make you happy .,sadness
All I ever do is try to please you,sadness
All I got is what you see here .,sadness
All I heard was trash talk .,sadness
"All I wan na do is clean it up , get it right .",sadness
All I've got are a lot of bad habits and a lot of bad debts .,sadness
All my failings were preparations for meeting you .,sadness
All my powers have gone .,sadness
"All that bread and livin' in a dump like this . Smashed cars , busted - out buses ... but all good stashes .",sadness
All that fighting in there wore me out .,sadness
All the good in this world came from fools with faith like that .,sadness
All the poor young girls .,sadness
All those mothers had to make do with what nature gave them .,sadness
Almost .,sadness
Am I so strange to you ?,sadness
An acquaintance of mine stole classified documents from the NSA and took off to [LOCATION] .,sadness
An animal had gnawed off its own foot to escape from a trap .,sadness
And denied .,sadness
"And for that , I can never forgive myself .",sadness
And he was so sorry for locking me up .,sadness
And he will be missed .,sadness
And I cried the whole time .,sadness
And I don't want to go to Hotel Terminus .,sadness
And I don't want to ....,sadness
"And I'm thinking that , well ... maybe the mill's taking you away from me and [PERSON] .",sadness
And I'm tweaking . I'm outta money .,sadness
And I've loved something that doesn't really exist .,sadness
"And in a fit of anger , I told her that our being together , our rekindled romance , was a big mistake .",sadness
And isaac started flying up To the sad broken star .,sadness
"And just what exactly are your intentions , young man ?",sadness|surprise
And no one will believe me .,sadness
And she got in a car accident .,sadness
And so I turned away my head and wept .,sadness
And Spider Man died kind of slow .,sadness
"And that we have an uncorrupted scientific establishment , which we do not and which we will prove .",sadness|surprise
And that's all I can give you .,sadness
And then came the war .,sadness
And then I - I don't know what happened .,sadness
And then this morning - I lost 'em . - We lost them .,sadness|surprise
And then three weeks ago I suffered a nervous breakdown .,sadness
"And then , of course , there was the unexpected and , I must say , regrettable suicide of [PERSON] .",sadness
And they're having more fun .,sadness
"And to my surprise to my deep surprise , it's harder to say goodbye than I thought .",sadness
And we didn't know how to help her deal with it .,sadness
And what most people don't see ... is just how hard it is to do the right thing .,sadness
And you've been resenting me .,sadness
"Another funeral for the pilot , not as spiffy as [PERSON]'s .",sadness
Any more than I could on that night I saw [PERSON] for the last time .,sadness
"Anyway the orders promoting him to Detective , First Grade , have already been cut .",sadness
Anyway you can't go to the hospital .,sadness|surprise
"Anyways , no good no more , Kid .",sadness
Are you all alone in there ?,sadness
Are you crying ?,sadness
Arguing's pretty much in my blood .,sadness
"As for me , I'm just a slave .",sadness
"As it is , this is not the life I want for our children , for myself and for you .",sadness
"As long as there was [PERSON] , there was a chance we might be happy .",sadness
"As long as you're here , let me show you the books ... so you can see how bad a businessman I am .",sadness
"At my age , you got ta think about retiring .",sadness
[PERSON] was worried too .,sadness
Aw . What happened ?,sadness|surprise
"Bad for you , worse for me .",sadness
"Barney , I am sorry .",sadness
Because I am certain that in his thoughts he is completely alone .,sadness
"Because it seems so hopeless , is that it ?",sadness
Because it was my misery .,sadness
Because when you talked about murder on the tapes ... I assumed it was just hallucination .,sadness
Been dead over hours .,sadness
Before experience taught me that life is quite tragic enough ...,sadness
"Behind this eloquent exterior , I've got a yellow streak miles wide .",sadness
Being real is a joke in your world ?,sadness
[LOCATION] laughed at my theory .,sadness
"Besides , this desert climate's not too good on a girl's complexion .",sadness
big town ? I beg your pardon ?,sadness|surprise
Birth of some issues right there .,sadness|surprise
"Bless me , Father , for I have sinned .",sadness
[PERSON] is dead .,sadness
"Boy , am I tired !",sadness
Boys forget what their country means by just reading  Land of the Free  in history books .,sadness
Breaking my heart with your impossible love !,sadness
But don't look so gloomy .,sadness
"But even so , it is quite awful when nobody in loves , is not ?",sadness
"But he's an angry guy . Picks up something , kills her .",sadness
But he's dead .,sadness
But I am guilty .,sadness
But I can't play them with you .,sadness
But I don't care about any of that now .,sadness
But I paid a heavy price .,sadness
But I thought we were gonna be partners .,sadness
But I want to be alone .,sadness
But I was crying because I. ...,sadness
But I will not attempt one here and now .,sadness|surprise
"But I'm gonna miss you , baby .",sadness
"But I'm missin' it , man .",sadness
"But in that case , We are no more guilty than the rest of the world .",sadness
But it was that that looked .,sadness|surprise
But it's sad .,sadness
But [LOCATION]'s a horrid place .,sadness
But now I know why I have always lost women to guys like you .,sadness
"But now , I don't suppose I shall ever see it again .",sadness
"But problems don't just go , [PERSON] , you know ?",sadness
"But really , was there any choice ?",sadness
But [PERSON] is gone .,sadness
But that is not true .,sadness
"But that's another story , and a very unpleasant one , too .",sadness
But the man I'm in love with doesn't .,sadness
But the war had changed him .,sadness
But there's an insurance log that monitors how much money is in the bank at any given time .,sadness
But there's nothing for me to do after 3:00 .,sadness
But they actually had a very thin but tight fitting suit on .,sadness|surprise
"But when I told the police , I do not think they believed me .",sadness
"But when the sick one is yourself , you can not run away .",sadness
"But when you worry , darkness does something to you .",sadness
But you can't .,sadness
But you can not help her .,sadness
"But you had to wait till now , now when [PERSON]'s dying ... to show me that I could never mean any more to you ... than this Watling woman does to [PERSON] .",sadness
"But you have to make a change to your life , put in some effort .",sadness|surprise
But you look like you're more upset than that .,sadness
But you seem to go to [LOCATION] rather more than you come to [LOCATION] .,sadness|surprise
"But you were never there for me , Dad .",sadness
But you would have gone ...,sadness
But you'll never find another [PERSON] .,sadness
But you're not enjoying yourself .,sadness
"But , you see , it's really his wife that's keeping them apart .",sadness
But . .,sadness|surprise
By having all the secrecy and refusing to set up any kind of diplomatic protocols as I know that you have called for and I believe in very strongly .,sadness
"By the way , [PERSON] , about your car ...",sadness
Bye .,sadness
Can not afford a dowry to each of his daughters .,sadness
Can we ever believe again ?,sadness
Can -- I was gonna ask you if I could give it to you ?,sadness
Can't anyone love me without it being life or death to them ?,sadness
"Can't be done , not with this equipment .",sadness
Can't he stay ? Tomorrow's not a school day .,sadness
Can't watch it .,sadness
Can't you see how upset I am about my poor uncle's death ?,sadness
"Captain , was [PERSON] wasted ?",sadness
[PERSON] hits the ceiling and throws me out .,sadness
[PERSON] would've fought back .,sadness|surprise
Casualty report ?,sadness
"Catholic school . A little minor league ball , long enough to find out I couldn't hit a curve .",sadness
Certain camps where the men aren't paid enough or fed enough or protected against disease enough .,sadness|surprise
"Charlie , have you thought how horrible it must have been ?",sadness
"Child , crying :",sadness
"Children , I have bad news for you .",sadness
"Clearly , we didn't trust each other with them .",sadness
Climbing on a heap of black and metal sheets and pilings ...  ... he hardly recognized the once proud and famous [LOCATION] .,sadness
"College degree , lovable personality ... and I spend most of my time in prison .",sadness
"Come on , man .",sadness|surprise
Completely out of our hands . - I don't accept that . - It's out of your hands .,sadness
"Comrades , your telegram was received with great disfavor in [LOCATION] .",sadness
Cos I think that people die sometimes when they don't wan na live no more .,sadness
Could we just go over one or two more ...,sadness
"Daddy , I want Mommy !",sadness
"Daddy , there are balloons floating away .",sadness
Daisy's leaving you .,sadness
Dear Mr. [PERSON] .   This is about a deputy prosecuting attorney who is taking bribes .,sadness|surprise
"[PERSON] , your mother and I have brought you to this spot to share this last private ... This moment of ... Grief and pain .",sadness
Death was from suffocation .,sadness
[PERSON] will never stand for it .,sadness
Did I say something wrong ?,sadness
Did you have a warrant ?,sadness
Disappointing .,sadness|surprise
Disgust that somebody she'd looked up to could be so weak .,sadness
Do not .,sadness|surprise
Do you know how many people are dying ?,sadness|surprise
Do you think nobody can tell ?,sadness
Do you want to know everything ?,sadness
"Doc , I don't want to fly any more .",sadness
"Doctor , can a sane man possibly perform offensive or foolish acts ?",sadness
Does this mean you don't like me anymore ?,sadness
[PERSON] tried to straighten her out .,sadness
Don't bother about me .,sadness
"Don't cry , honey .",sadness
Don't cry .,sadness
Don't drink alone .,sadness
Don't give us hunches .,sadness|surprise
Don't know if I'm ever gonna get my nails done now .,sadness
Don't leave without saying goodbye .,sadness
Don't look so depressed .,sadness
Don't make me feel like this .,sadness
Don't you want me with you ?,sadness
"During the night , I was woken by [PERSON] crying .",sadness
[PERSON] won't see her kids again .,sadness
[PERSON] was killed .,sadness
"[PERSON] , how long has it been since I said I love you ?",sadness
[PERSON] drowned the day before his fourth birthday .,sadness
"Especially when there are no days and nights in it , but just days that turn black when the sun goes down .",sadness
Even though we have each other . It can be a very lonely existence .,sadness
"Even when we rehearsed it , I felt something sad and tender .",sadness
"Ever since the club split up , I missed you . We all missed you .",sadness
"Every time I think about it , I get sad and depressed , and I'm having flashbacks .",sadness
Everybody except me .,sadness
Everybody's mother's got to die sometime .,sadness
Everyone has baggage they bring to a relationship .,sadness
Everyone sees this thing except me .,sadness
Everyone was in mourning .,sadness
Everything is cold and finished .,sadness
Everything is part of the great lie .,sadness
"Faced with that ... regardless of my personal feelings for the boy , my sense of duty told me that his expulsion from the Senate was the only possible answer .",sadness
Fail !,sadness|surprise
Fantasia will be forgotten .,sadness
Fate and too many painkillers .,sadness
Father [PERSON] told me that you had to keep your hands to yourself .,sadness|surprise
"Father , I'm at the end of my rope .",sadness
Feel better ?,sadness
"[PERSON] , I have the most terrible news for you .",sadness
Fifty of them froze to death in one night .,sadness
"Fine , fine . Say , [PERSON] , something kind of important has come up ...",sadness
"First [PERSON] , now [PERSON] .",sadness
"Five Wounds , for short .",sadness
[LOCATION] is not gonna have a baby .,sadness
"For me , the fun went out of it after [PERSON] died . It was never any good , really , after that .",sadness
"For these and all my sins of my past life , I am heartily sorry .",sadness
"For us , business is lousy .",sadness
Forget me .,sadness
"Forgive me for not recognizing you , Dr. [PERSON] .",sadness
"Forgive me , Father , for I have sinned .",sadness
Forgive me .,sadness
Forgive me ...,sadness
From then on I was hopelessly lost .,sadness
From top to bottom we are riddled with cruelty .,sadness
Fuckin' wearin' me out .,sadness
"Gentlemen , it is difficult to admit to an error .",sadness
[PERSON] says he didn't rent a car . The rental company says he did . Whatever .,sadness
"[PERSON] , there's no point in going on .",sadness
Get rid of your gum .,sadness|surprise
"[PERSON] , my sympathy for your loss --",sadness
"God , forgive me .",sadness
Gone .,sadness
gonna be some hard times coming down .,sadness
"Good - bye , [PERSON] .",sadness
"Goodbye , boys .",sadness
"Goodbye , [PERSON] .",sadness
"Goodbye , Mom .",sadness
"Grandfather , I think it's a good day to die .",sadness
Hans waved me off .,anger|sadness
Happiness is something I know nothing about .,sadness
Has decided to demolish ...,sadness
He ain't gonna make it .,fear|sadness
He also does not support me .,fear|sadness
He can't be your friend .,sadness|surprise
He can't get a clear shot !,sadness|surprise
He didn't come to the man who trusted him and ask for help .,sadness
He didn't know ...,sadness
He didn't like it .,sadness|surprise
He didn't look well last night .,sadness
He died a week ago .,sadness
He died a year later .,sadness
He died kind of slow .,sadness
He died suddenly .,sadness
He disappeared a long time ago .,sadness
He don't care about you and he don't care about me neither .,sadness
He got a little sick .,sadness
He got run over by a car .,sadness
He had to go back to work .,sadness
He had to say goodbye to one of us and that's too bad .,sadness
He killed when he was born ... without knowin' it .,fear|sadness
He let go of my hand . And I was lost .,fear|sadness
He leveraged himself up to his eyeballs . The investments didn't work out ... He got himself in serious debt .,disgust|sadness
He looks terrible .,sadness
"He lost all his patients , he didn't wan na go to the office .",sadness
He must be going out of his mind .,sadness
He never wanted me .,sadness
He probably doesn't remember me .,sadness
He said he forgot .,sadness|surprise
He said no pilots .,sadness|surprise
He said : Just leave the money in the top drawer .,sadness
He shot himself .,disgust|fear|sadness
He should be here with his family .,sadness
He shouldn't be a cop .,sadness|surprise
He shouldn't have to decide here .,sadness
He spares us the mercifully quick extinction of the hangman's rope ... and gives the slow death of slavery .,sadness
He talks about the great lie  .,sadness
"He testified that his mother had beaten up the old man many times , and how , on the night of the murder , she not only smashed his radio but hit him .",anger|disgust|fear|sadness
He thinks it's a wonderful evening and then she takes a handful of pills and overdoses .,anger|sadness
He told me they're getting cold feet .,anger|disgust|sadness
He tried to remember that power he used to have over women back in his dangerous days .,sadness
He used to use his hands .,sadness
He wants clean people on the screen for himself and his children to look at .,sadness|surprise
He was gonna die ?,fear|sadness|surprise
He was my brother .,sadness
"He was [PERSON]'s beau , and he loved her , not me .",sadness
"He wasn't much good , though .",sadness
He wasn't worthy of your loyalty .,disgust|sadness
"He wouldn't have , unless he were discouraged and angry .",sadness
He'd undergone a lot of strain .,sadness
He'll never get started .,sadness
He's a little bit grumpy right now .,sadness
He's a poor boy .,sadness
He's a real choirboy .,sadness
He's after me .,fear|sadness
"He's all tired out , though , the poor little guy .",sadness
He's capable of giving this administration an enormous amount of grief .,anger|disgust|sadness
"He's dead and buried , [PERSON] .",sadness
"He's dead , isn't he ?",fear|sadness
He's dying .,sadness
He's getting farther away every second .,sadness
He's hurt bad .,sadness
He's in plenty of hot water .,sadness
He's in trouble . Boy ?,sadness
He's mad . It was an accident .,anger|fear|sadness|surprise
He's not coming back .,fear|sadness
"He's not here , darling .",sadness|surprise
"He's probably walking around here , lost .",sadness
He's put his neck on the chopping block .,anger|fear|sadness
He's sure gonna think the worst .,sadness
"He's the town joke , and I'm stuck with him .",anger|sadness
He's wrong for us .,disgust|fear|sadness|surprise
Heaven knows how she lived through those weeks .,sadness
"[PERSON] , you are a slave as long as [PERSON] possesses you .",sadness
Her boyfriend was killed in a racing accident .,sadness
"Her face had shrunk , and her nose was red from crying .",sadness
Her father murdered her mother .,disgust|sadness|surprise
"Her secret is that she's making half a million bucks a year and she still collects alimony from me , in my present reduced circumstances .",anger|disgust|sadness
Here on holiday but seems to be having a bit of car trouble ?,joy|sadness|surprise
"Hey , come on .",joy|sadness|surprise
"Hey , wasn't it gruesome , that girl who was shot in the street today ?",sadness
"Hey , you told me the only way you survive is because you're a team .",anger|disgust|sadness
Hey ! So I know I haven't been the best dad in the world .,sadness
"Hi , [PERSON] . I'm sorry I didn't get to send you a card yet about your wife .",sadness
"Hi , maria . - ( sighs )",sadness
Hi ! Hi Princess ! This isn't really the best time right now .,joy|sadness
His life means nothing .,disgust|sadness
His name was [PERSON] .,sadness
Honestly ...,sadness
"Honey , I haven't had a chance to really talk to her ...",sadness
How awful .,sadness
How can I take time when I know what's going on ?,sadness
How can I ?,sadness
How can we be sure she'll help us free the Childlike Empress ?,sadness
How can you be so cruel and unfeeling ?,sadness
How can you be so mean ?,disgust|sadness
How can you forget yourselves this way ?,sadness
How can you think that I could do a thing like that ?,disgust|sadness|surprise
How could he say a thing like that ?,anger|disgust|sadness|surprise
How could I have forgotten about [PERSON] ?,sadness
"How could you speak of love to me , say the things you did , and you about to be married .",sadness
"How dare you , you ... How long has she been in this condition ?",anger|disgust|fear|sadness|surprise
How did we end up talking about your death from my drug test ? I don't understand .,sadness
How did you find me ?,sadness|surprise
How do you know what I want ?,sadness|surprise
How do you mean that ? And now you will laugh .,sadness|surprise
% ? !,surprise
"$ , for a taxi !",surprise
A beautiful woman like you ?,surprise
A bus ?,surprise
A cook ?,surprise
"A few years ago , you was a truck driver .",surprise
A good thing my reactions are so fast,surprise
A good - looking girl like you ?,surprise
"A heroic thought , Barley .",surprise
"A horse - ranch Indian , a drunken gunfighter , a sex maniac ... and an uncle !",surprise
A hundred thousand dollars ?,surprise
A quarter of a million dollars ?,surprise
A rather odd reaction .,surprise
A Webley automatic ...,surprise
Abracadabra !,surprise
Acid ?,surprise
"Actually , we don't know a soul here .",surprise
"[PERSON] , what's happenin' here ?",surprise
"Ah , [PERSON] , old chum .",surprise
"Ah , the ring !",surprise
"Ah , was from there .",surprise
Ah . You believed in it and you fought for it .,surprise
Ah ... I see it pays to advertise on television .,surprise
Ain't she seen a man before ?,surprise
Ain't that the girl [PERSON] went lookin' for ?,surprise
"[PERSON] , you got here fast .",surprise
"[PERSON] , don't you remember ?",surprise
"[PERSON] , you remind me of someone I used to know .",surprise
"[PERSON] , do you know what you're saying ?",surprise
All ?,surprise
"All of a sudden , there's a lot of noise .",surprise
All of them ?,surprise
All of you !,surprise
All that gossip !,surprise
"All that money , [PERSON] ?",surprise
Am I interrupting something ?,surprise
An engineer ?,surprise
"An odd coincidence , both of you turning up here .",surprise
And did you believe this nonsense ?,surprise
And everybody say hello to kit - [PERSON] !,surprise
And he who spies and flies away lives to spy another day .,surprise
And he wouldn't let you help him ?,surprise
And I got so drunk I puked spaghetti everywhere .,surprise
And I really didn't think you wanted to be looped in on my schedule .,surprise
And I was thinking more of sushi ?,surprise
"And I was with some boys in the neighborhood , and we saw this and went ,  Oh , My God !",surprise
And just how did he go about that ?,surprise
"And [PERSON]'s sent you about a ton of tea . Well , a couple of pounds .",surprise
"And now , a happy surprise for all of us .",surprise
"And people do the strangest things , too .",surprise
And so I clicked it and ... There was the pictures of my daughter .,surprise
"And the kid you're taking off ... you give him , .",surprise
And they told me that you weren't that smart .,surprise
And were you not told the same thing by his wife ?,surprise
And what do you think those old geezers really miss in [LOCATION] ?,surprise
And what happens Tuesday ?,surprise
And you believe that ?,surprise
And you found out ?,surprise
And you know what ? They offered us a job .,surprise
And you shouldn't neglect your gums .,surprise
And you were right there !,surprise
And you're it .,surprise
"Any guy who says he can fence $ 50,000 , is crazy .",surprise
Anyone'd think you didn't want to get better .,surprise
Apparently [PERSON] smells like [LOCATION] too .,surprise
Are they all hollow shells ? !,surprise
Are they both mad ?,surprise
Are we here at the mechanic ?,surprise
Are we killers now ?,surprise
Are you abandoning the search ?,surprise
"Are you crazy , [PERSON] ?",surprise
Are you guys brothers !,surprise
Are you joking ?,surprise
Are you looking for somebody ?,surprise
Are you out of your mind ?,surprise
Are you quite certain this place was full of people only a few minutes ago ?,surprise
Are you quite sure you'd be able to use it in cold blood ?,surprise
Are you really a singer ?,surprise
Are you saying she was kidnapped ?,surprise
Are you serious ?,surprise
Are you so sure that [PERSON] will attack ?,surprise
Are you still mad about [LOCATION] ?,surprise
Are you sure it was there ?,surprise
Are you sure this report's correct ?,surprise
Are you the Buljanoff who fought on the barricades ?,surprise
Are you trying to say something ?,surprise
Are you trying to tell me that you want to be on television ?,surprise
Are you ?,surprise
Aren't you going to ask me to sit down ?,surprise
Aren't you gonna do something ?,surprise
"Aren't you pleasant . - Yes , when I wan na be .",surprise
"Aren't you tired , [PERSON] ?",surprise
"As far as discretion goes , what were you and [PERSON] doing , comparing notes ?",surprise
"As far as I'm concerned , a coconut hit you on the mouth .",surprise
Ass cam . - What ?,surprise
"At first I was like , Why did I run away ?",surprise
"At the moment , you have an excellent chance of being hanged .",surprise
Autumn ?,surprise
Back the starboard engine !,surprise
Barley ?,surprise
"[PERSON] , all of this is very confusing .",surprise
bat - blind ships .,surprise
"[PERSON] , did you know that your dad two - steps ? Really ?",surprise
"Boy , I don't know how you survived in this world up to now .",surprise
"Boy , is that hot !",surprise
"Boy , those English sure have a lot of guts .",surprise
"Boy , you amaze me .",surprise
"But are they telling me , or are they asking me ?",surprise
But do you truly believe that by deliberate present - day action we can neutralize that possibility and alter the future ?,surprise
But everyone pretended he could walk ?,surprise
But how can there be a question ?,surprise
But how do you know that if you weren't there ?,surprise
But how do you live there all by yourself ?,surprise
But I always thought little stenographers made little pennies .,surprise
"But I couldn't help noticing , despite the habit , that you're quite young .",surprise
But I didn't sleep yet .,surprise
But I want to know why .,surprise
But I'm her spiritual adviser .,surprise
"But if you're in love with him , why are you skipping out ?",surprise
But [PERSON] told me she was with you .,surprise
"But right now , I can't think of one .",surprise
But the windows will ?,surprise
But there's no dirt in here . - I know .,surprise
But these are criminals .,surprise
"But they were lights , they were flying around .",surprise
But we've got to take a closer look at this big boy .,surprise
But what's she doing off of [LOCATION] with part of that fleet's treasure ?,surprise
But what's wrong with Sister [PERSON]'s habit ?,surprise
But where have I put it ?,surprise
But who would buy the boat ?,surprise
But why do you bring this up now ?,surprise
But you are absolutely sure he was a priest ?,surprise
"But , monsieur , if you had only told me in the first place that you wished to consult with your consul .",surprise
"By heavens , an Englishwoman .",surprise
"Calm down , chica . She only owes me more .",surprise
Cam ?,surprise
Can it be that I'm falling in love with you ?,surprise
Can we even do this ?,surprise
Can you ever imagine [PERSON] being in a spot like that ?,surprise
Can you imagine that guy ?,surprise
Can't I go down to [LOCATION] and get it fixed ?,surprise
Can't I have everything ?,surprise
Can't you tell me what's happened ?,surprise
[PERSON] really digs you .,surprise
[PERSON] never seemed worried about anything like that .,surprise
"Case , it strikes me you chose a strange time to tell us this .",surprise
Caught in the act .,surprise
"[PERSON] , it's me . - Yeah .",surprise
"[PERSON] , she's got tits the size of cucumbers .",surprise
Christ !,surprise
[PERSON] ? ! Are you Elder [PERSON] traveling incognito ?,surprise
"Come on , you're kidding me , right ?",surprise
"Come to think of it , everyone did look kind of undressed .",surprise
Complete reversal of usual behaviour pattern .,surprise
Compliments of the gent in the corner by the door .,surprise
"Cool , thank you .",surprise
Cops !,surprise
"Daddy , you found [PERSON] !",surprise
"Damn [PERSON] , this is your last wish ?",surprise
"[PERSON] , why are you so cross ?",surprise
[PERSON] sat here ?,surprise
"Darling , it just doesn't make sense .",surprise
"Darling , why weren't you disappointed ?",surprise
Did I hear somebody call for their old man ?,surprise
Did I hear something about jewels ?,surprise
Did [PERSON] really play here ?,surprise
Did you come over in that aeroplane that I saw flying round ?,surprise
Did you do it ?,surprise
Did you do this ?,surprise
Did you ever wan na sleep with a man ?,surprise
"Did you hear that , honey ?",surprise
Did you see the Giants ?,surprise
Did you see what he did ?,surprise
Did you think I was a lady ?,surprise
Did you want to see me ?,surprise
Did you ?,surprise
Didn't even know he was still alive .,surprise
Didn't the formula cure his rheumatism ?,surprise
Didn't they ask you about this ?,surprise
Didn't think we'd be getting to see you .,surprise
Didn't you march today ?,surprise
Didn't you talk about a boys camp ?,surprise
Didn't you understand that ?,surprise
"Do all directors come to ask young women to sit with their producers ? Um , not all .",surprise
Do I actually see this ?,surprise
Do I look like a baroness ?,surprise
"Do not do this to me , [PERSON] .",surprise
Do Russians never think about life ?,surprise
Do you believe that ?,surprise
Do you know that my first trip to [LOCATION] took five days ?,surprise
Do you mean he'd never seen a clock before ?,surprise
Do you really think they can do anything ?,surprise
Do you really want to know ?,surprise
Do you speak english ? - ( speaks spanish ),surprise
Does it mean you want me to go there ?,surprise
Does not this makes you laugh ?,surprise
Does this mean [PERSON] and Miss [PERSON] are engaged ?,surprise
Doesn't a doctor have to do that ?,surprise
